use_case,data_tag,exp_tag,repldnormmea,repldnormse,ldnormreps,repldexactmea,repldexactse,ldexactreps,source,category
seq_epipara,seq,control_marginal_proba,0.9148817668073844,0.0054849464112631825,10,abdb,0.00543525107423429,10,abdb,control
seq_epipara,seq,control_cond_proba,0.9735116485490366,0.0018257716852775445,10,abdb,0.0015378952916705675,10,abdb,control
seq_epipara,seq,control_cond_proba_with_prior,0.953215651443849,0.0022752287672710143,10,abdb,0.003789479066242991,10,abdb,control
seq_paraepi,seq,control_marginal_proba,0.826220027750549,0.006090123454846236,10,abdb,0.00400259089477887,10,abdb,control
seq_paraepi,seq,control_cond_proba,0.9769072082107918,0.0042792398524328715,10,abdb,0.0015169294788526446,10,abdb,control
seq_paraepi,seq,control_cond_proba_with_prior,0.9137558004408284,0.006118537073303106,10,abdb,0.0014213541132659007,10,abdb,control
motif_epipara,motif,exp_marginal_proba,0.5532979492805625,0.008859778813421312,10,abdb,0.01947852395618547,10,abdb,exp
motif_epipara,motif,exp_cond_proba,0.41389343946531104,0.01602227330265624,10,abdb,0.014383182991917268,10,abdb,exp
motif_epipara,motif,exp_cond_proba_with_prior,0.2489194903356977,0.00839230100334357,10,abdb,0.013106976186883435,10,abdb,exp
motif_paraepi,motif,exp_marginal_proba,0.6300671526954296,0.006630214106478434,10,abdb,0.00983158215982462,10,abdb,exp
motif_paraepi,motif,exp_cond_proba,0.3424223664841165,0.01177722060357984,10,abdb,0.01366370241500396,10,abdb,exp
motif_paraepi,motif,exp_cond_proba_with_prior,0.27633663365434186,0.0034049207856243647,10,abdb,0.008433723162249133,10,abdb,exp
motif_epipara,motif,control_marginal_proba,0.5534428414149375,0.013426820366502916,10,abdb,0.01388548977040085,10,abdb,control
motif_epipara,motif,control_cond_proba,0.6516692766994763,0.015612944281912063,10,abdb,0.016247272261773516,10,abdb,control
motif_epipara,motif,control_cond_proba_with_prior,0.5616009082321352,0.01000547406642202,10,abdb,0.012543105436783266,10,abdb,control
motif_paraepi,motif,control_marginal_proba,0.6310819498989619,0.005584388909986066,10,abdb,0.012780703378797286,10,abdb,control
motif_paraepi,motif,control_cond_proba,0.6525451878732196,0.007663794468068762,10,abdb,0.012149318855087552,10,abdb,control
motif_paraepi,motif,control_cond_proba_with_prior,0.6347460092722497,0.007875983156667998,10,abdb,0.01003400103890945,10,abdb,control
seq_epipara,seq,exp_marginal_proba,0.9030805061447156,0.015465569025980471,10,ppi,0.0004220408229189737,10,ppi,exp
seq_epipara,seq,exp_cond_proba,0.9649735760718838,0.0010271134706920527,10,ppi,0.0015553818435511575,10,ppi,exp
seq_epipara,seq,exp_cond_proba_with_prior,0.8456462134171451,0.00500333300510858,10,ppi,0.0,10,ppi,exp
seq_paraepi,seq,exp_marginal_proba,0.9289335179899,0.0018428921421232926,10,ppi,0.0005955456981453668,10,ppi,exp
seq_paraepi,seq,exp_cond_proba,0.9647742166599992,0.002966112306691895,10,ppi,0.0014961782392653973,10,ppi,exp
seq_paraepi,seq,exp_cond_proba_with_prior,0.8324136759689708,0.0021259906019484545,10,ppi,0.0,10,ppi,exp
seq_epipara,seq,control_marginal_proba,0.9052003323566216,0.011099634225887537,10,ppi,0.0005306852428818377,10,ppi,control
seq_epipara,seq,control_cond_proba,0.9861009597976692,0.0011179357697295386,10,ppi,0.0,10,ppi,control
seq_epipara,seq,control_cond_proba_with_prior,0.9714243661443946,0.0012101157654156756,10,ppi,0.0,10,ppi,control
seq_paraepi,seq,control_marginal_proba,0.9234378963011544,0.014090213090056846,10,ppi,0.0003167824767981856,10,ppi,control
seq_paraepi,seq,control_cond_proba,0.9863681691837692,0.0007472721860836865,10,ppi,0.0,10,ppi,control
seq_paraepi,seq,control_cond_proba_with_prior,0.9699454962696012,0.0012571878480875226,10,ppi,0.0,10,ppi,control
agg_epipara,agg,exp_marginal_proba,0.7376817747814559,0.005374583124036658,10,abdb,0.001524711325278965,10,abdb,exp
agg_epipara,agg,exp_cond_proba,0.9830892419287888,0.0034546867867005933,10,abdb,0.0,10,abdb,exp
agg_epipara,agg,exp_cond_proba_with_prior,0.8602721696135831,0.009318499240324688,10,abdb,0.009746654736198427,10,abdb,exp
agg_paraepi,agg,exp_marginal_proba,0.8069723181663436,0.03325777954038872,10,abdb,0.0019294961587066066,10,abdb,exp
agg_paraepi,agg,exp_cond_proba,0.9815936028674092,0.002282044721839461,10,abdb,0.0,10,abdb,exp
agg_paraepi,agg,exp_cond_proba_with_prior,0.8888142698746979,0.0079099722314007,10,abdb,0.0035787315123139555,10,abdb,exp
agg_epipara,agg,control_marginal_proba,0.7407913324578969,0.004859376380399543,10,abdb,0.002148736741611634,10,abdb,control
agg_epipara,agg,control_cond_proba,0.9831644319734741,0.0023846387636691467,10,abdb,0.0,10,abdb,control
agg_epipara,agg,control_cond_proba_with_prior,0.9199236449171486,0.005407223833422318,10,abdb,0.0,10,abdb,control
agg_paraepi,agg,control_marginal_proba,0.8091170273814562,0.029212374950319992,10,abdb,0.002119721253796072,10,abdb,control
agg_paraepi,agg,control_cond_proba,0.9832289803833992,0.003228140591938239,10,abdb,0.0,10,abdb,control
agg_paraepi,agg,control_cond_proba_with_prior,0.9436780341701244,0.0026065715821898872,10,abdb,0.0004256093755273799,10,abdb,control
