"id","group","score"
"X32X*","Epitope",4
"X35X*","Epitope",4
"X3X2X1X*","Epitope",4
"X3X6X*","Epitope",4
"X40X*","Epitope",4
"X42X*","Epitope",4
"X47X*","Epitope",4
"X4X1X*","Epitope",4
"X55X*","Epitope",4
"X56X*","Epitope",4
"X5X7X*","Epitope",4
"X68X*","Epitope",4
"X90X*","Epitope",4
"X9X*","Epitope",4
"XX1X2X*","Epitope",4
"XX6X*","Epitope",4
"X114X*","Epitope",3
"X169X*","Epitope",3
"X17X*","Epitope",3
"X182X*","Epitope",3
"X1X27X*","Epitope",3
"X1X6X*","Epitope",3
"X20X*","Epitope",3
"X26X*","Epitope",3
"X28X*","Epitope",3
"X29X*","Epitope",3
"X2X3X2X*","Epitope",3
"X2X4X*","Epitope",3
"X2X5X*","Epitope",3
"X2X6X*","Epitope",3
"X30X*","Epitope",3
"X32X2X*","Epitope",3
"X37X*","Epitope",3
"X3XX1X*","Epitope",3
"X41X*","Epitope",3
"X49X*","Epitope",3
"X4X5X*","Epitope",3
"X51X*","Epitope",3
"X5X1X*","Epitope",3
"X61X*","Epitope",3
"X65X*","Epitope",3
"X6XX*","Epitope",3
"X76X*","Epitope",3
"X78X*","Epitope",3
"XX21X*","Epitope",3
"XX23X*","Epitope",3
"XX4XX*","Epitope",3
"X102X*","Epitope",2
"X103X*","Epitope",2
"X104X*","Epitope",2
"X108X*","Epitope",2
"X109X*","Epitope",2
"X113X*","Epitope",2
"X11X12X*","Epitope",2
"X11X1X*","Epitope",2
"X126X2X*","Epitope",2
"X14X*","Epitope",2
"X16X*","Epitope",2
"X17X3X*","Epitope",2
"X180X*","Epitope",2
"X181X*","Epitope",2
"X182XX*","Epitope",2
"X1X12X*","Epitope",2
"X1X16X*","Epitope",2
"X1X1XX*","Epitope",2
"X1X20X*","Epitope",2
"X1X2X3X*","Epitope",2
"X1X7X*","Epitope",2
"X1X9X*","Epitope",2
"X1XX23X*","Epitope",2
"X1XX4X*","Epitope",2
"X21X3X*","Epitope",2
"X23X24X*","Epitope",2
"X29X28X*","Epitope",2
"X29XX*","Epitope",2
"X2X13X*","Epitope",2
"X2X19X*","Epitope",2
"X2X1X1X*","Epitope",2
"X2X1X81X*","Epitope",2
"X2X1XX*","Epitope",2
"X2X20X*","Epitope",2
"X2X37X*","Epitope",2
"X2X3XX*","Epitope",2
"X2X65X*","Epitope",2
"X2X79X*","Epitope",2
"X2X7X*","Epitope",2
"X2XX4X*","Epitope",2
"X31X29X*","Epitope",2
"X32X1XX*","Epitope",2
"X32X34X*","Epitope",2
"X32XX*","Epitope",2
"X38X*","Epitope",2
"X39X*","Epitope",2
"X3X23X*","Epitope",2
"X3X2XX*","Epitope",2
"X3XX1X3X*","Epitope",2
"X3XX3X*","Epitope",2
"X44X*","Epitope",2
"X46X*","Epitope",2
"X48X*","Epitope",2
"X4X2X*","Epitope",2
"X4X3X*","Epitope",2
"X4X6X*","Epitope",2
"X4XXX*","Epitope",2
"X59X*","Epitope",2
"X5X1XX*","Epitope",2
"X5X6X*","Epitope",2
"X61X62X*","Epitope",2
"X62X*","Epitope",2
"X63X*","Epitope",2
"X6X1X*","Epitope",2
"X6X4X*","Epitope",2
"X6X7X*","Epitope",2
"X73XX*","Epitope",2
"X75X*","Epitope",2
"X77X*","Epitope",2
"X79X25X24X*","Epitope",2
"X7X1X*","Epitope",2
"X7X3X*","Epitope",2
"X7X8X*","Epitope",2
"X7XX*","Epitope",2
"X80X*","Epitope",2
"X80X38X37X*","Epitope",2
"X84X*","Epitope",2
"X85X87X*","Epitope",2
"X86X*","Epitope",2
"X88X*","Epitope",2
"X91X*","Epitope",2
"X93X*","Epitope",2
"X9X7X*","Epitope",2
"XX11X*","Epitope",2
"XX17X*","Epitope",2
"XX1X10X*","Epitope",2
"XX1X1X*","Epitope",2
"XX1X4X*","Epitope",2
"XX25X26X80X*","Epitope",2
"XX26X*","Epitope",2
"XX28X*","Epitope",2
"XX30X*","Epitope",2
"XX39X*","Epitope",2
"XX40X*","Epitope",2
"XX47X*","Epitope",2
"XX6XX*","Epitope",2
"XX7X*","Epitope",2
"XX7XX*","Epitope",2
"XX87X*","Epitope",2
"XX8X*","Epitope",2
"XX8X1X*","Epitope",2
"XXX1X*","Epitope",2
"X100X98X3X*","Epitope",1
"X101X1X*","Epitope",1
"X101X99X*","Epitope",1
"X103X102X*","Epitope",1
"X104X41X31X8X9X38X117X*","Epitope",1
"X107X1X120X*","Epitope",1
"X109XXX106X*","Epitope",1
"X10X11XX14XX*","Epitope",1
"X10X13X38X*","Epitope",1
"X10X18X27X*","Epitope",1
"X10X1X*","Epitope",1
"X10X1X96X*","Epitope",1
"X10X206X*","Epitope",1
"X10X2X*","Epitope",1
"X10X2X33X27X*","Epitope",1
"X10X2X6X90X*","Epitope",1
"X10X300X1X81X*","Epitope",1
"X10X3X*","Epitope",1
"X10X3X62X63X3X2X*","Epitope",1
"X10X7X*","Epitope",1
"X10X8X231X1X*","Epitope",1
"X10XX10X*","Epitope",1
"X10XX2X60X*","Epitope",1
"X10XX42X34X*","Epitope",1
"X10XX4X40X4X17X*","Epitope",1
"X10XX65X63X2X3X2X*","Epitope",1
"X111X107X*","Epitope",1
"X113X111X75XX*","Epitope",1
"X114X107X106X104X*","Epitope",1
"X115X170X*","Epitope",1
"X115X2X*","Epitope",1
"X115X3X117X*","Epitope",1
"X115XX1X*","Epitope",1
"X115XXX*","Epitope",1
"X116X46X68X3X1X*","Epitope",1
"X117X114X*","Epitope",1
"X117X22X16X*","Epitope",1
"X11X10X*","Epitope",1
"X11X10X4X*","Epitope",1
"X11X12X3X*","Epitope",1
"X11X19X*","Epitope",1
"X11X1X2X*","Epitope",1
"X11X24X10X*","Epitope",1
"X11X2X15X13X14X*","Epitope",1
"X11X2X94X*","Epitope",1
"X11X55X47X2X43X*","Epitope",1
"X11X7X15X*","Epitope",1
"X11X7XX3X*","Epitope",1
"X11X9X*","Epitope",1
"X11XXX*","Epitope",1
"X121X*","Epitope",1
"X121X76X74X93XX46X*","Epitope",1
"X124X25X3X*","Epitope",1
"X127X*","Epitope",1
"X128X*","Epitope",1
"X128X2X2XX*","Epitope",1
"X12X1X*","Epitope",1
"X12X21X*","Epitope",1
"X12X24X*","Epitope",1
"X12X3X7X35X*","Epitope",1
"X12X7X1X*","Epitope",1
"X12XX*","Epitope",1
"X130X*","Epitope",1
"X130X1X134X1X2X58X54X*","Epitope",1
"X131X*","Epitope",1
"X132X*","Epitope",1
"X132X127X*","Epitope",1
"X133X2X127X3X*","Epitope",1
"X134X*","Epitope",1
"X134X42X56XX*","Epitope",1
"X134XXX*","Epitope",1
"X135XX3X1X*","Epitope",1
"X136X1X*","Epitope",1
"X136X1X40X47X*","Epitope",1
"X137X*","Epitope",1
"X137X4X*","Epitope",1
"X138X*","Epitope",1
"X13X11X*","Epitope",1
"X13X1X*","Epitope",1
"X13X2X35X1X46XX*","Epitope",1
"X13X2XX1X7X*","Epitope",1
"X13X3X36X83X38X*","Epitope",1
"X13X3XX17X*","Epitope",1
"X13X4X2X*","Epitope",1
"X13X6XX*","Epitope",1
"X13XX24X*","Epitope",1
"X13XX2X*","Epitope",1
"X140X*","Epitope",1
"X140X166X22X*","Epitope",1
"X141X*","Epitope",1
"X141X143X*","Epitope",1
"X142X*","Epitope",1
"X143X176X*","Epitope",1
"X143X88X*","Epitope",1
"X144X*","Epitope",1
"X145X*","Epitope",1
"X145X18X*","Epitope",1
"X146X60X1X91XX1X*","Epitope",1
"X147X*","Epitope",1
"X147X58X3XX1X92XX1X*","Epitope",1
"X148X145X144X*","Epitope",1
"X148X146X*","Epitope",1
"X148X156X1X*","Epitope",1
"X148X20X15X*","Epitope",1
"X148X3X*","Epitope",1
"X148X57X4XX90XX1X7X*","Epitope",1
"X148XX*","Epitope",1
"X149X148XX107X103X*","Epitope",1
"X149X62X1XX92X1X5X*","Epitope",1
"X14X12X*","Epitope",1
"X14X15X*","Epitope",1
"X14X16X17X*","Epitope",1
"X14X1X*","Epitope",1
"X14XX*","Epitope",1
"X150X*","Epitope",1
"X151X148X1X*","Epitope",1
"X151X24X*","Epitope",1
"X153X2X*","Epitope",1
"X154X37X29X31X28X*","Epitope",1
"X155X154X*","Epitope",1
"X155X5X*","Epitope",1
"X157X161XX1X1X*","Epitope",1
"X159XX*","Epitope",1
"X15X14X9X1X*","Epitope",1
"X15X17X2X*","Epitope",1
"X15X26X24X*","Epitope",1
"X15X42X3X*","Epitope",1
"X15XX16X2X*","Epitope",1
"X162X53X61X*","Epitope",1
"X162XX366X369X*","Epitope",1
"X163X*","Epitope",1
"X163X59X*","Epitope",1
"X166X163XX*","Epitope",1
"X166X22X141X183X*","Epitope",1
"X167X*","Epitope",1
"X167X21X*","Epitope",1
"X168X*","Epitope",1
"X169X73X*","Epitope",1
"X16X143X*","Epitope",1
"X16X1X*","Epitope",1
"X16X1X99X*","Epitope",1
"X16X1XX21X1X*","Epitope",1
"X16X2X*","Epitope",1
"X16X2X8X*","Epitope",1
"X16X2X9X*","Epitope",1
"X16X9X*","Epitope",1
"X16XX19X*","Epitope",1
"X170X*","Epitope",1
"X173X145XX58X90X92X93X1X*","Epitope",1
"X173X172X191XX1X217X108X4X5X*","Epitope",1
"X173X192X105X2X86X92X93X1X11X*","Epitope",1
"X173X86X2X4XX93X9X8X*","Epitope",1
"X174X25X61XX1X2X83X177XX*","Epitope",1
"X174X2XX*","Epitope",1
"X176X*","Epitope",1
"X176X177X*","Epitope",1
"X176X1X14X*","Epitope",1
"X176XX179X*","Epitope",1
"X177X*","Epitope",1
"X178X*","Epitope",1
"X178X176X2X1X*","Epitope",1
"X178X1X*","Epitope",1
"X178XX*","Epitope",1
"X179X*","Epitope",1
"X179X177X175X1X174X170X*","Epitope",1
"X179X1X*","Epitope",1
"X179X2X*","Epitope",1
"X179XX*","Epitope",1
"X17X104XX90X10X2X6X93X*","Epitope",1
"X17X18X*","Epitope",1
"X17X1X102X*","Epitope",1
"X17X23X22X*","Epitope",1
"X17X24XX*","Epitope",1
"X17X2X*","Epitope",1
"X17X43X57X3XX89X1XX1X*","Epitope",1
"X17XX101X*","Epitope",1
"X180X138X28X4X166X*","Epitope",1
"X180X42XXX*","Epitope",1
"X180XX*","Epitope",1
"X181X183X*","Epitope",1
"X181XX*","Epitope",1
"X183X186X185X184X2X1X11X1XX*","Epitope",1
"X184X178X4X*","Epitope",1
"X184X378X192X1X2X*","Epitope",1
"X184XX1X*","Epitope",1
"X184XXX*","Epitope",1
"X187X*","Epitope",1
"X187X181X*","Epitope",1
"X187X182X*","Epitope",1
"X189X190X109X1X231X4X*","Epitope",1
"X189X190X339X229X*","Epitope",1
"X18X10X29XX*","Epitope",1
"X18X19X*","Epitope",1
"X18X1X116X*","Epitope",1
"X18X1X3X97XXX110X1X7X*","Epitope",1
"X18X1XX*","Epitope",1
"X18X243X*","Epitope",1
"X18X2X2X*","Epitope",1
"X18X3X*","Epitope",1
"X18X49X*","Epitope",1
"X18XX*","Epitope",1
"X18XX1X*","Epitope",1
"X190X362X318X56X4X89X2XX10X*","Epitope",1
"X190X44X59XX90X91X92XX9X*","Epitope",1
"X191X190X1X2X*","Epitope",1
"X191X2XX*","Epitope",1
"X191XX102X2X103X105X88X1XX6X3X*","Epitope",1
"X192X102X3X108X110X90X93X103X*","Epitope",1
"X192X104X2X4XX91XX2X7X*","Epitope",1
"X192X105XX1X103X10X1X2X*","Epitope",1
"X192X43X57X4XX92XX3X5X*","Epitope",1
"X192XX106X3X5X91XX7X5X8X*","Epitope",1
"X192XX106XX1X88X1X1X1X2X*","Epitope",1
"X193X1X192X*","Epitope",1
"X193X44X42X100X5X91X90X96X3X*","Epitope",1
"X194X*","Epitope",1
"X194X3X104X2X4X84X176XX10X*","Epitope",1
"X195X*","Epitope",1
"X195X197X*","Epitope",1
"X196X*","Epitope",1
"X19X16X*","Epitope",1
"X19X1X*","Epitope",1
"X19X20X*","Epitope",1
